transaction,tag
TRX DMart 123,grocery
PAY DMart,grocery
DMart HYD,grocery
PAY DMart BLR,grocery
TRX DMart,grocery
TRX DMart,grocery
SQ *DMart DEL,grocery
SQ *DMart 123,grocery
SQ *DMart,grocery
TRX DMart INDIA,grocery
UPI DMart HYD,grocery
IMPS DMart,grocery
IMPS DMart 123,grocery
SQ *DMart 001,grocery
UPI DMart 001,grocery
IMPS DMart,grocery
UPI DMart INDIA,grocery
DMart BLR,grocery
DMart 001,grocery
SQ *DMart DEL,grocery
PAY DMart HYD,grocery
TRX Walmart HYD,grocery
PAY Walmart,grocery
SWIPE Walmart BLR,grocery
SQ *Walmart DEL,grocery
PAY Walmart HYD,grocery
TRX Walmart DEL,grocery
IMPS Walmart INDIA,grocery
SWIPE Walmart BLR,grocery
UPI Walmart HYD,grocery
SWIPE Walmart,grocery
SWIPE Walmart 123,grocery
UPI Walmart,grocery
SWIPE Walmart INDIA,grocery
TRX Walmart,grocery
Walmart HYD,grocery
IMPS Walmart INDIA,grocery
PAY Walmart 001,grocery
IMPS Walmart,grocery
UPI Walmart 123,grocery
SWIPE Walmart DEL,grocery
IMPS Walmart HYD,grocery
PAY Walmart 001,grocery
TRX Walmart BLR,grocery
TRX Walmart,grocery
PAY Walmart DEL,grocery
TRX Walmart DEL,grocery
IMPS Walmart DEL,grocery
PAY Walmart BLR,grocery
Walmart 123,grocery
IMPS Walmart HYD,grocery
TRX Walmart,grocery
IMPS Walmart INDIA,grocery
UPI Walmart DEL,grocery
TRX Walmart HYD,grocery
IMPS Walmart,grocery
UPI Walmart DEL,grocery
SQ *Walmart 123,grocery
TRX Walmart,grocery
TRX Walmart DEL,grocery
PAY Walmart,grocery
IMPS Walmart BLR,grocery
SWIPE Walmart INDIA,grocery
IMPS Walmart DEL,grocery
UPI Walmart HYD,grocery
SWIPE Walmart,grocery
SWIPE Walmart,grocery
IMPS Walmart,grocery
Walmart 123,grocery
IMPS Walmart 123,grocery
SWIPE Walmart 123,grocery
SWIPE Reliance Fresh 123,grocery
IMPS Reliance Fresh BLR,grocery
SQ *Reliance Fresh BLR,grocery
PAY Reliance Fresh INDIA,grocery
Reliance Fresh 123,grocery
IMPS Reliance Fresh BLR,grocery
SQ *Reliance Fresh HYD,grocery
SQ *Reliance Fresh BLR,grocery
Reliance Fresh,grocery
SWIPE Reliance Fresh HYD,grocery
SWIPE Reliance Fresh,grocery
SQ *Reliance Fresh 123,grocery
TRX Reliance Fresh 123,grocery
Reliance Fresh 001,grocery
SWIPE Reliance Fresh INDIA,grocery
SWIPE Reliance Fresh HYD,grocery
Reliance Fresh,grocery
IMPS Reliance Fresh DEL,grocery
IMPS Reliance Fresh,grocery
UPI Reliance Fresh DEL,grocery
SQ *Reliance Fresh,grocery
Reliance Fresh 123,grocery
TRX Reliance Fresh 001,grocery
SWIPE Reliance Fresh HYD,grocery
TRX Reliance Fresh 123,grocery
PAY Reliance Fresh 123,grocery
SQ *Reliance Fresh,grocery
PAY Reliance Fresh,grocery
PAY Reliance Fresh,grocery
IMPS Reliance Fresh 001,grocery
SQ *Reliance Fresh,grocery
TRX Reliance Fresh INDIA,grocery
Reliance Fresh DEL,grocery
SWIPE Reliance Fresh 001,grocery
Reliance Fresh,grocery
UPI Reliance Fresh DEL,grocery
SQ *Reliance Fresh INDIA,grocery
IMPS Reliance Fresh 001,grocery
SWIPE Reliance Fresh,grocery
PAY Reliance Fresh,grocery
Reliance Fresh 001,grocery
SQ *Reliance Fresh,grocery
TRX Reliance Fresh 001,grocery
IMPS Reliance Fresh,grocery
IMPS Reliance Fresh BLR,grocery
Reliance Fresh INDIA,grocery
UPI Reliance Fresh BLR,grocery
SQ *Reliance Fresh,grocery
SQ *Reliance Fresh,grocery
PAY Reliance Fresh 123,grocery
TRX Spencers 001,grocery
PAY Spencers INDIA,grocery
PAY Spencers BLR,grocery
UPI Spencers,grocery
PAY Spencers HYD,grocery
SWIPE Spencers,grocery
SQ *Spencers 123,grocery
IMPS Spencers 001,grocery
PAY Spencers 001,grocery
SWIPE Spencers 123,grocery
UPI Spencers,grocery
TRX Spencers,grocery
SWIPE Spencers BLR,grocery
UPI Spencers DEL,grocery
UPI Spencers,grocery
Spencers,grocery
IMPS Spencers,grocery
SQ *Spencers INDIA,grocery
IMPS Spencers INDIA,grocery
UPI Spencers BLR,grocery
Spencers INDIA,grocery
PAY Spencers,grocery
IMPS Spencers,grocery
UPI Spencers BLR,grocery
IMPS Spencers INDIA,grocery
UPI Spencers 123,grocery
UPI Spencers,grocery
SQ *Spencers HYD,grocery
UPI Spencers HYD,grocery
SWIPE Spencers,grocery
UPI Spencers,grocery
SQ *Spencers INDIA,grocery
SWIPE Spencers INDIA,grocery
UPI Spencers DEL,grocery
SQ *Spencers,grocery
IMPS Spencers,grocery
PAY Spencers HYD,grocery
PAY Spencers HYD,grocery
PAY Spencers HYD,grocery
SQ *Spencers,grocery
UPI Spencers,grocery
IMPS Spencers HYD,grocery
PAY Spencers DEL,grocery
SQ *Spencers INDIA,grocery
TRX Spencers,grocery
IMPS Spencers INDIA,grocery
UPI Spencers BLR,grocery
SWIPE Spencers DEL,grocery
IMPS Spencers,grocery
SWIPE Spencers HYD,grocery
PAY HPCL,fuel
PAY HPCL INDIA,fuel
SQ *HPCL 123,fuel
HPCL 123,fuel
SQ *HPCL,fuel
SWIPE HPCL BLR,fuel
UPI HPCL DEL,fuel
TRX HPCL 001,fuel
UPI HPCL 123,fuel
IMPS HPCL DEL,fuel
IMPS HPCL BLR,fuel
SQ *HPCL INDIA,fuel
TRX HPCL INDIA,fuel
TRX HPCL,fuel
HPCL HYD,fuel
SWIPE HPCL 123,fuel
IMPS HPCL 123,fuel
HPCL,fuel
HPCL 001,fuel
HPCL,fuel
SQ *HPCL BLR,fuel
HPCL INDIA,fuel
HPCL DEL,fuel
SWIPE HPCL,fuel
TRX HPCL 123,fuel
HPCL INDIA,fuel
IMPS HPCL HYD,fuel
HPCL BLR,fuel
UPI HPCL 001,fuel
SWIPE HPCL 123,fuel
UPI HPCL,fuel
UPI HPCL 001,fuel
SQ *HPCL BLR,fuel
UPI HPCL,fuel
UPI HPCL 123,fuel
TRX HPCL DEL,fuel
PAY HPCL,fuel
IMPS HPCL,fuel
SQ *HPCL INDIA,fuel
SWIPE HPCL,fuel
SWIPE HPCL DEL,fuel
SQ *HPCL,fuel
HPCL HYD,fuel
PAY HPCL 123,fuel
PAY HPCL 123,fuel
IMPS HPCL DEL,fuel
SWIPE HPCL,fuel
TRX HPCL 123,fuel
SWIPE HPCL,fuel
IMPS HPCL DEL,fuel
IMPS BPCL HYD,fuel
BPCL 123,fuel
PAY BPCL BLR,fuel
UPI BPCL HYD,fuel
PAY BPCL,fuel
SQ *BPCL HYD,fuel
IMPS BPCL DEL,fuel
BPCL 123,fuel
TRX BPCL 123,fuel
UPI BPCL 001,fuel
PAY BPCL 123,fuel
TRX BPCL BLR,fuel
SQ *BPCL,fuel
PAY BPCL BLR,fuel
IMPS BPCL DEL,fuel
UPI BPCL 123,fuel
UPI BPCL,fuel
IMPS BPCL HYD,fuel
IMPS BPCL 001,fuel
SWIPE BPCL INDIA,fuel
BPCL,fuel
SQ *BPCL,fuel
PAY BPCL 001,fuel
TRX BPCL BLR,fuel
BPCL,fuel
BPCL 123,fuel
TRX BPCL 123,fuel
UPI BPCL 123,fuel
IMPS BPCL 001,fuel
SQ *BPCL,fuel
SWIPE BPCL,fuel
UPI BPCL,fuel
BPCL,fuel
PAY BPCL INDIA,fuel
TRX BPCL HYD,fuel
SQ *BPCL 123,fuel
SWIPE BPCL BLR,fuel
IMPS BPCL,fuel
UPI BPCL 001,fuel
BPCL HYD,fuel
TRX BPCL,fuel
PAY BPCL HYD,fuel
UPI BPCL,fuel
PAY BPCL HYD,fuel
UPI BPCL HYD,fuel
SQ *BPCL DEL,fuel
SQ *BPCL DEL,fuel
UPI BPCL 123,fuel
UPI BPCL HYD,fuel
SQ *BPCL 001,fuel
UPI Shell,fuel
SQ *Shell INDIA,fuel
PAY Shell 123,fuel
SWIPE Shell 123,fuel
TRX Shell 123,fuel
SWIPE Shell DEL,fuel
TRX Shell HYD,fuel
SQ *Shell,fuel
SQ *Shell 001,fuel
SWIPE Shell DEL,fuel
SQ *Shell 123,fuel
SWIPE Shell BLR,fuel
TRX Shell 123,fuel
SWIPE Shell 001,fuel
SQ *Shell,fuel
IMPS Shell BLR,fuel
PAY Shell,fuel
TRX Shell 001,fuel
Shell,fuel
SWIPE Shell HYD,fuel
IMPS Shell,fuel
IMPS Shell INDIA,fuel
SWIPE Shell,fuel
SWIPE Shell BLR,fuel
UPI Shell DEL,fuel
IMPS Shell INDIA,fuel
UPI Shell DEL,fuel
SQ *Shell HYD,fuel
TRX Shell DEL,fuel
SWIPE Shell 001,fuel
SQ *Shell INDIA,fuel
PAY Shell DEL,fuel
PAY Shell,fuel
TRX Shell 001,fuel
SQ *Shell HYD,fuel
IMPS Shell HYD,fuel
PAY Shell 001,fuel
Shell,fuel
PAY Shell,fuel
IMPS Shell,fuel
Shell,fuel
TRX Shell DEL,fuel
Shell BLR,fuel
SWIPE Shell,fuel
TRX Shell,fuel
TRX Shell,fuel
SQ *Shell,fuel
TRX Shell BLR,fuel
IMPS Shell BLR,fuel
TRX Shell INDIA,fuel
TRX IndianOil,fuel
UPI IndianOil 001,fuel
SQ *IndianOil HYD,fuel
IMPS IndianOil 123,fuel
UPI IndianOil,fuel
SWIPE IndianOil 001,fuel
IndianOil 123,fuel
UPI IndianOil HYD,fuel
TRX IndianOil BLR,fuel
SQ *IndianOil,fuel
SWIPE IndianOil DEL,fuel
SQ *IndianOil 001,fuel
PAY IndianOil,fuel
IMPS IndianOil 123,fuel
IMPS IndianOil INDIA,fuel
SWIPE IndianOil 123,fuel
UPI IndianOil BLR,fuel
PAY IndianOil,fuel
TRX IndianOil HYD,fuel
PAY IndianOil 001,fuel
TRX IndianOil,fuel
SQ *IndianOil DEL,fuel
IMPS IndianOil 123,fuel
PAY IndianOil,fuel
TRX IndianOil 001,fuel
TRX IndianOil 001,fuel
UPI IndianOil,fuel
TRX IndianOil,fuel
TRX IndianOil INDIA,fuel
TRX IndianOil,fuel
IndianOil DEL,fuel
PAY IndianOil,fuel
UPI IndianOil INDIA,fuel
SWIPE IndianOil BLR,fuel
UPI IndianOil BLR,fuel
UPI IndianOil DEL,fuel
UPI IndianOil 001,fuel
IMPS IndianOil 123,fuel
TRX IndianOil 001,fuel
SWIPE IndianOil DEL,fuel
IMPS IndianOil,fuel
SWIPE IndianOil,fuel
UPI IndianOil HYD,fuel
SQ *IndianOil HYD,fuel
IndianOil DEL,fuel
IndianOil HYD,fuel
IndianOil DEL,fuel
UPI IndianOil,fuel
TRX IndianOil,fuel
IndianOil DEL,fuel
SWIPE Nayara BLR,fuel
IMPS Nayara INDIA,fuel
IMPS Nayara 001,fuel
SQ *Nayara BLR,fuel
UPI Nayara,fuel
PAY Nayara,fuel
Nayara HYD,fuel
TRX Nayara HYD,fuel
PAY Nayara HYD,fuel
PAY Nayara,fuel
SQ *Nayara 001,fuel
Nayara INDIA,fuel
SWIPE Nayara 001,fuel
PAY Nayara 001,fuel
SWIPE Nayara 001,fuel
IMPS Nayara DEL,fuel
PAY Nayara,fuel
UPI Nayara BLR,fuel
SWIPE Nayara HYD,fuel
PAY Nayara 123,fuel
SWIPE Nayara,fuel
PAY Nayara,fuel
IMPS Nayara 123,fuel
PAY Nayara INDIA,fuel
IMPS Nayara DEL,fuel
TRX Nayara,fuel
Nayara,fuel
IMPS Nayara HYD,fuel
SQ *Nayara DEL,fuel
TRX Nayara 123,fuel
SWIPE Nayara 123,fuel
Nayara,fuel
TRX Nayara INDIA,fuel
UPI Nayara INDIA,fuel
UPI Nayara,fuel
IMPS Nayara,fuel
UPI Nayara,fuel
SQ *Nayara 123,fuel
SQ *Nayara DEL,fuel
IMPS Nayara DEL,fuel
Nayara INDIA,fuel
SQ *Nayara,fuel
TRX Nayara DEL,fuel
TRX Nayara DEL,fuel
UPI Nayara 123,fuel
SWIPE Nayara,fuel
IMPS Nayara,fuel
Nayara 001,fuel
TRX Nayara 123,fuel
SQ *Nayara,fuel
PAY Indigo,airline
Indigo DEL,airline
SWIPE Indigo,airline
SQ *Indigo DEL,airline
SQ *Indigo,airline
UPI Indigo 123,airline
PAY Indigo 123,airline
SQ *Indigo HYD,airline
PAY Indigo DEL,airline
UPI Indigo DEL,airline
Indigo 001,airline
SQ *Indigo BLR,airline
PAY Indigo,airline
IMPS Indigo BLR,airline
SWIPE Indigo INDIA,airline
SQ *Indigo,airline
IMPS Indigo,airline
PAY Indigo 001,airline
IMPS Indigo HYD,airline
UPI Indigo 001,airline
IMPS Indigo INDIA,airline
PAY Indigo,airline
IMPS Indigo,airline
SWIPE Indigo 123,airline
SQ *Indigo BLR,airline
SQ *Indigo 001,airline
UPI Indigo,airline
SQ *Indigo,airline
TRX Indigo 123,airline
Indigo,airline
Indigo,airline
SWIPE Indigo,airline
TRX Indigo 001,airline
IMPS Indigo INDIA,airline
SWIPE Indigo HYD,airline
SQ *Indigo,airline
SQ *Indigo,airline
UPI Indigo HYD,airline
Indigo INDIA,airline
UPI Indigo,airline
IMPS Indigo,airline
Indigo INDIA,airline
Indigo DEL,airline
SQ *Indigo HYD,airline
IMPS Indigo,airline
PAY Indigo,airline
SQ *Indigo INDIA,airline
UPI Indigo 001,airline
IMPS Indigo INDIA,airline
SQ *Indigo HYD,airline
PAY Air India,airline
Air India BLR,airline
PAY Air India BLR,airline
IMPS Air India 001,airline
IMPS Air India,airline
Air India DEL,airline
SQ *Air India INDIA,airline
PAY Air India INDIA,airline
TRX Air India 123,airline
SQ *Air India 001,airline
Air India INDIA,airline
IMPS Air India HYD,airline
Air India,airline
SWIPE Air India BLR,airline
IMPS Air India BLR,airline
UPI Air India,airline
Air India,airline
SQ *Air India DEL,airline
SQ *Air India DEL,airline
IMPS Air India 123,airline
PAY Air India,airline
SWIPE Air India,airline
IMPS Air India HYD,airline
PAY Air India DEL,airline
TRX Air India HYD,airline
IMPS Air India,airline
Air India 123,airline
IMPS Air India 001,airline
Air India,airline
SWIPE Air India DEL,airline
UPI Air India,airline
SWIPE Air India,airline
SQ *Air India,airline
UPI Air India,airline
TRX Air India INDIA,airline
SWIPE Air India DEL,airline
SQ *Air India,airline
Air India 001,airline
Air India,airline
TRX Air India 123,airline
SWIPE Air India,airline
SWIPE Air India,airline
SQ *Air India 001,airline
TRX Air India,airline
UPI Air India,airline
IMPS Air India DEL,airline
SWIPE Air India HYD,airline
SQ *Air India DEL,airline
SWIPE Air India,airline
SWIPE Air India HYD,airline
Vistara INDIA,airline
IMPS Vistara DEL,airline
TRX Vistara HYD,airline
Vistara 123,airline
Vistara BLR,airline
TRX Vistara DEL,airline
SWIPE Vistara BLR,airline
IMPS Vistara BLR,airline
Vistara,airline
TRX Vistara 123,airline
PAY Vistara,airline
TRX Vistara DEL,airline
IMPS Vistara HYD,airline
PAY Vistara,airline
SQ *Vistara DEL,airline
PAY Vistara,airline
UPI Vistara BLR,airline
SQ *Vistara,airline
TRX Vistara 001,airline
TRX Vistara INDIA,airline
Vistara 123,airline
SQ *Vistara,airline
Vistara HYD,airline
SWIPE Vistara HYD,airline
TRX Vistara,airline
IMPS Vistara 001,airline
SQ *Vistara INDIA,airline
UPI Vistara 001,airline
UPI Vistara,airline
Vistara DEL,airline
SQ *Vistara,airline
SQ *Vistara DEL,airline
TRX Vistara DEL,airline
TRX Vistara DEL,airline
SQ *Vistara DEL,airline
UPI Vistara HYD,airline
TRX Vistara HYD,airline
SQ *Vistara,airline
SQ *Vistara DEL,airline
Vistara 123,airline
TRX Vistara HYD,airline
Vistara,airline
UPI Vistara DEL,airline
Vistara INDIA,airline
Vistara 123,airline
SWIPE Vistara INDIA,airline
SQ *Vistara 123,airline
IMPS Vistara,airline
UPI Vistara BLR,airline
IMPS Vistara DEL,airline
PAY SpiceJet 123,airline
TRX SpiceJet,airline
TRX SpiceJet,airline
PAY SpiceJet,airline
PAY SpiceJet INDIA,airline
SpiceJet,airline
UPI SpiceJet DEL,airline
SWIPE SpiceJet BLR,airline
SWIPE SpiceJet 001,airline
PAY SpiceJet,airline
SQ *SpiceJet HYD,airline
